,coll_index,surname_x,initials_x,clean_name,raw_name,name,matched_name,distance,dup_count,item,itemLabel,surname_y,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,yob,yod,wyb,wye
2745,c01002,D'ALTON,S.E.,"D'ALTON, S.E.","D'ALTON, St Eloy","D'ALTON, S.E.","Dalton, J.",0.71,2,http://www.wikidata.org/entity/Q41284,John Dalton,Dalton,J.,"Dalton, J.",,56739674,0000 0000 8384 8146,63526,1967-1,Jn.Dalton,1766.0,1844.0,,
2746,c01478,GRANT,H.,"GRANT, H.","GRANT, H.","GRANT, H.","Grant, J.",0.71,2,http://www.wikidata.org/entity/Q3161118,James Grant,Grant,J.,"Grant, J.",,42746617,0000 0000 8377 102X,,,,1772.0,1833.0,,
2747,c01478,GRANT,H.,"GRANT, H.","GRANT, H.","GRANT, H.","Grant, J.",0.71,2,http://www.wikidata.org/entity/Q22104337,John Grant,Grant,J.,"Grant, J.",,,,,,,,,,
2748,c00032,ALCOCK,H.W.,"ALCOCK, H.W.","ALCOCK, H.W. ^^","ALCOCK, H.W.","Alcock, J.",0.72,1,http://www.wikidata.org/entity/Q1699105,John Alcock,Alcock,J.,"Alcock, J.",,22202306,0000 0001 1439 4387,,,,1942.0,,,
2749,c00198,BANDY,G.,"BANDY, G.","BANDY, G. ^^","BANDY, G.","Tandy, G.",0.72,1,http://www.wikidata.org/entity/Q19840898,Geoffrey Tandy,Tandy,G.,"Tandy, G.",,39765859,0000 0004 4292 7058,15463,31500-1,Tandy,1900.0,1969.0,,
2750,c00212,BARKER,M.A.,"BARKER, M.A.","BARKER, Mary Ann, Mrs, nee ELRIDGE","BARKER, M.A.","Barker, J.",0.72,1,http://www.wikidata.org/entity/Q21505665,John Barker,Barker,J.,"Barker, J.",,,,78803,31323-1,J.Barker,1838.0,1907.0,,
2751,c00346,BENNETT,M.M.,"BENNETT, M.M.","BENNETT, Muriel Mary","BENNETT, M.M.","Bennett, J.",0.72,1,http://www.wikidata.org/entity/Q47114041,J.E. Bennett,Bennett,J.,"Bennett, J.",,,,,20002393-1,J.E.Benn.,,,,
2752,c00363,BERTOLI,G.,"BERTOLI, G.","BERTOLI, G. ^^","BERTOLI, G.","Bertolli, .",0.72,1,http://www.wikidata.org/entity/Q21446330,Bertolli,Bertolli,.,"Bertolli, .",,,,,20012414-1,Bertolli,,,,
2753,c00367,BEST,H.,"BEST, H.","BEST, Heinrich","BEST, H.","Best, M.",0.72,1,http://www.wikidata.org/entity/Q39188248,Megan Best,Best,M.,"Best, M.",0000-0003-1570-8872,,,,,,,,,
2754,c00368,BEST,H.,"BEST, H.","BEST, Henry","BEST, H.","Best, M.",0.72,1,http://www.wikidata.org/entity/Q39188248,Megan Best,Best,M.,"Best, M.",0000-0003-1570-8872,,,,,,,,,
