,label,count,start_date,end_date,activity_span,name,matched_name,distance,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,yob,yod,wyb,wye
119,"Lucas, A.H.S.",3130,1801.0,1986.0,185.0,"Lucas, A.H.S.","Lucas, A.H.S.",0.0,1,http://www.wikidata.org/entity/Q2865141,Arthur Henry Shakespeare Lucas,Lucas,A.H.S.,"Lucas, A.H.S.",,3802231,0000 0000 8417 8738,507.0,5794-1,A.H.S.Lucas,1853.0,1936.0,,
120,"Betche, E.",3098,1850.0,1986.0,136.0,"Betche, E.","Betche, E.",0.0,1,http://www.wikidata.org/entity/Q8777414,Ernst Betche,Betche,E.,"Betche, E.",,93250440,0000 0000 6457 8785,2251,740-1,Betche,1851.0,1913.0,,
121,"Jobson, R.W.",3089,1983.0,2018.0,35.0,"Jobson, R.W.","Jobson, R.W.",0.0,1,http://www.wikidata.org/entity/Q18985935,Richard W. Jobson,Jobson,R.W.,"Jobson, R.W.",,,,,20012341-1,R.W.Jobson,,,,
122,"Skinner, S.",3076,1967.0,2020.0,53.0,"Skinner, S.","Skinner, S.",0.0,1,http://www.wikidata.org/entity/Q6134185,Stephen Skinner,Skinner,S.,"Skinner, S.",,220857487,,81442,31422-1,S.Skinner,1950.0,,,
123,"Risler, J.",3074,1995.0,2011.0,16.0,"Risler, J.","Risler, J.",0.0,1,http://www.wikidata.org/entity/Q36597987,Johan Risler,Risler,J.,"Risler, J.",,,,74885,8408-1,Risler,,,,
124,"Weymouth, W.A.",3073,1811.0,1990.0,179.0,"Weymouth, W.A.","Weymouth, W.A.",0.0,1,http://www.wikidata.org/entity/Q21612552,William Anderson Weymouth,Weymouth,W.A.,"Weymouth, W.A.",,,,33070,11600-1,Weymouth,1842.0,1928.0,,
125,"Camfield, J.H.",3067,1871.0,1997.0,126.0,"Camfield, J.H.","Camfield, J.H.",0.0,1,http://www.wikidata.org/entity/Q21506890,Julius Henry Camfield,Camfield,J.H.,"Camfield, J.H.",,,,36874,12469-1,Camfield,1852.0,1916.0,,
126,"Gibson, N.",3045,1908.0,2018.0,110.0,"Gibson, N.","Gibson, N.",0.0,1,http://www.wikidata.org/entity/Q21513975,Neil Gibson,Gibson,N.,"Gibson, N.",,,,,20005656-1,N.Gibson,1957.0,,,
127,"Forsyth, W.",3043,1865.0,1999.0,134.0,"Forsyth, W.","Forsyth, W.",0.0,1,http://www.wikidata.org/entity/Q1509710,William Forsyth,Forsyth,W.,"Forsyth, W.",,59265538,0000 0000 8138 6128,46743.0,2839-1,Forsyth,1737.0,1804.0,,
128,"Hall, N.",3022,1883.0,1997.0,114.0,"Hall, N.","Hallé, N.",0.0,1,http://www.wikidata.org/entity/Q3206449,Nicolas Hallé,Hallé,N.,"Hallé, N.",,56610955,0000 0001 1764 5137,,3584-1,N.Hallé,1927.0,2017.0,,
129,"Gunn, R.C.",2973,1808.0,1939.0,131.0,"Gunn, R.C.","Gunn, R.C.",0.0,1,http://www.wikidata.org/entity/Q4133320,Robert Campbell Gunn,Gunn,R.C.,"Gunn, R.C.",,160916758,,8192.0,3482-1,Gunn,1808.0,1881.0,,
130,"Sankowsky, G.",2966,1968.0,2013.0,45.0,"Sankowsky, G.","Sankowsky, G.",0.0,1,http://www.wikidata.org/entity/Q26713785,G. Sankowsky,Sankowsky,G.,"Sankowsky, G.",,,,14988,20004441-2,Sankowsky,,,,
131,"Syme, K.",2898,1984.0,2018.0,34.0,"Syme, K.","Syme, K.",0.0,1,http://www.wikidata.org/entity/Q36609403,Katrina Syme,Syme,K.,"Syme, K.",,,,,20003129-1,K.Syme,,,,
132,"Scott, F.J.",2886,1976.0,2017.0,41.0,"Scott, F.J.","Scott, F.J.",0.0,1,http://www.wikidata.org/entity/Q36557384,Fiona J. Scott,Scott,F.J.,"Scott, F.J.",,,,,30347-1,F.J.Scott,,,,
133,"Handasyde, T.",2831,1989.0,2017.0,28.0,"Handasyde, T.","Handasyde, T.",0.0,1,http://www.wikidata.org/entity/Q88827084,Tricia Handasyde,Handasyde,T.,"Handasyde, T.",,,,,20042617-1,Handasyde,,,,
134,"Bastow, R.A.",2817,1854.0,1950.0,96.0,"Bastow, R.A.","Bastow, R.A.",0.0,1,http://www.wikidata.org/entity/Q7323833,Richard Austin Bastow,Bastow,R.A.,"Bastow, R.A.",,1450150748994516420005,,23972.0,15765-1,Bastow,1839.0,1920.0,,
