,agent_id,family_name,initials_x,given_names,num_coll,start_year,end_year,match_string,name,matched_name,distance,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,yob,yod,wyb,wye
160,19882,Thies,A.W.,Arthur,1002,1978,1998,"Thies, A.W.","Thies, A.W.","Thies, D.",0.81,1,http://www.wikidata.org/entity/Q21395266,Detlev Thies,Thies,D.,"Thies, D.",,,,,,,,,,
161,2473,Brooker,M.I.H.,,4966,1938,2006,"Brooker, M.I.H.","Brooker, M.I.H.","Brooker, I.",0.85,1,http://www.wikidata.org/entity/Q2601921,Ian Brooker,Brooker,I.,"Brooker, I.",,75943659,0000 0000 6406 1129,35287.0,1174-1,Brooker,1934.0,2016.0,,
162,18552,Sinnott,N.H.,Nigel,1104,1944,2015,"Sinnott, N.H.","Sinnott, N.H.","Sinnott, E.W.",0.85,1,http://www.wikidata.org/entity/Q5339904,Edmund Ware Sinnott,Sinnott,E.W.,"Sinnott, E.W.",,34832741,0000 0000 8114 1745,23132.0,9699-1,Sinnott,1888.0,1968.0,,
163,14213,Moscal,A.,,1626,1968,2002,"Moscal, A.","Moscal, A.","Mosca, L.",0.86,1,http://www.wikidata.org/entity/Q47122999,Luigi Mosca,Mosca,L.,"Mosca, L.",,,,,14456-1,L.Mosca,,,,
164,17766,Sayer,W.A.,,1730,1877,1898,"Sayer, W.A.","Sayer, W.A.","Sayer, C.D.",0.87,1,http://www.wikidata.org/entity/Q25448507,Carl D. Sayer,Sayer,C.D.,"Sayer, C.D.",,,,,,,,,,
165,493,Armit,W.E. de M.,William Edington de Margrat,1654,1802,1898,"Armit, W.E. de M.","Armit, W.E. de M.","Armit, W.E.(.M.",0.88,1,http://www.wikidata.org/entity/Q21539286,William Edington (de Margrat) Armit,Armit,W.E.(.M.,"Armit, W.E.(.M.",,,,39137,,,1848.0,1901.0,,
166,13632,Merrall,E.,Edwin,1561,1807,1899,"Merrall, E.","Merrall, E.","Grall, E.",0.88,1,http://www.wikidata.org/entity/Q23661033,Elena Grall,Grall,E.,"Grall, E.",,,,,,,,,,
167,743,Bäuerlen,W.,William,3434,1880,1910,"Bäuerlen, W.","Bäuerlen, W.","Baeuerlen, W.",0.9,1,http://www.wikidata.org/entity/Q62088127,William Baeuerlen,Baeuerlen,W.,"Baeuerlen, W.",,,,27830,,,1840.0,1893.0,,
168,3185,Cann,H.J.,,3106,1952,1974,"Cann, H.J.","Cann, H.J.","Conn, H.J.",0.9,1,http://www.wikidata.org/entity/Q21508943,Harold Joel Conn,Conn,H.J.,"Conn, H.J.",,,,61842,17375-1,H.J.Conn,1886.0,1952.0,,
169,21564,Whinray,J.S.,John,10631,1958,2017,"Whinray, J.S.","Whinray, J.S.","Pray, J.S.",0.95,1,http://www.wikidata.org/entity/Q23620375,James Sturgis Pray,Pray,J.S.,"Pray, J.S.",,71104605,0000 0000 4478 7248,,,,1871.0,1929.0,,
