,label,i18nCode,count,fq,start_date,end_date,activity_span
82,"Chinnock, R.J.","collector.Chinnock, R.J.",10140,"collector:""Chinnock, R.J.""",1957,2018,61
83,"Everist, S.L.","collector.Everist, S.L.",10126,"collector:""Everist, S.L.""",1930,1984,54
84,"McBarron, E.J.","collector.McBarron, E.J.",10081,"collector:""McBarron, E.J.""",1903,2000,97
85,"Perry, R.A.","collector.Perry, R.A.",9831,"collector:""Perry, R.A.""",1843,1984,141
86,"Cribb, A.B.","collector.Cribb, A.B.",9657,"collector:""Cribb, A.B.""",1926,2014,88
87,"Corrick, M.G.","collector.Corrick, M.G.",9562,"collector:""Corrick, M.G.""",1935,2007,72
88,"Russell-Smith, J.","collector.Russell-Smith, J.",9443,"collector:""Russell-Smith, J.""",1979,2017,38
89,"Ewers, W.H.","collector.Ewers, W.H.",9252,"collector:""Ewers, W.H.""",1932,2007,75
90,"Chippendale, G.M.","collector.Chippendale, G.M.",9137,"collector:""Chippendale, G.M.""",1853,1994,141
91,"Wannan, B.S.","collector.Wannan, B.S.",9064,"collector:""Wannan, B.S.""",1975,2018,43
92,"Muir, T.B.","collector.Muir, T.B.",9057,"collector:""Muir, T.B.""",1879,1986,107
93,"Smith, L.S.","collector.Smith, L.S.",9008,"collector:""Smith, L.S.""",1854,1998,144
94,"Jacobs, S.W.L.","collector.Jacobs, S.W.L.",8766,"collector:""Jacobs, S.W.L.""",1882,2009,127
95,"Ford, A.","collector.Ford, A.",8746,"collector:""Ford, A.""",1989,2018,29
96,"Irvine, A.K.","collector.Irvine, A.K.",8698,"collector:""Irvine, A.K.""",1971,2000,29
97,"Curnow, J.A.","collector.Curnow, J.A.",8514,"collector:""Curnow, J.A.""",1968,2019,51
98,"Croxford, E.J.","collector.Croxford, E.J.",8456,"collector:""Croxford, E.J.""",1874,2001,127
99,"Powell, J.M.","collector.Powell, J.M.",8261,"collector:""Powell, J.M.""",1953,1997,44
100,"Halford, D.","collector.Halford, D.",8079,"collector:""Halford, D.""",1976,2016,40
101,"Helms, R.","collector.Helms, R.",8046,"collector:""Helms, R.""",1841,1999,158
102,"Lothian, T.R.N.","collector.Lothian, T.R.N.",8032,"collector:""Lothian, T.R.N.""",1904,1997,93
103,"Specht, R.L.","collector.Specht, R.L.",7800,"collector:""Specht, R.L.""",1939,1989,50
104,"Cumming, R.J.","collector.Cumming, R.J.",7762,"collector:""Cumming, R.J.""",1930,2013,83
105,"Byrne, G.","collector.Byrne, G.",7668,"collector:""Byrne, G.""",1965,2018,53
106,"Jackson, E.N.S.","collector.Jackson, E.N.S.",7432,"collector:""Jackson, E.N.S.""",1930,1992,62
107,"Ashby, A.M.","collector.Ashby, A.M.",7312,"collector:""Ashby, A.M.""",1920,1984,64
108,"Hubbard, C.E.","collector.Hubbard, C.E.",7289,"collector:""Hubbard, C.E.""",1920,1981,61
109,"Curtis, W.M.","collector.Curtis, W.M.",7274,"collector:""Curtis, W.M.""",1862,2005,143
110,"Keighery, G.J. | Gibson, N.","collector.Keighery, G.J. | Gibson, N.",7061,"collector:""Keighery, G.J. | Gibson, N.""",1990,2004,14
