,label,count,start_date,end_date,activity_span,name,matched_name,distance,item_count,items,item_labels
395,"Vonow, H.P.",2717,1933.0,2015.0,82.0,"Vonow, H.P.","Vono, V.",1.02,1,http://www.wikidata.org/entity/Q30302352,Volney Vono
283,"Salasoo, H.",3865,1917.0,1986.0,69.0,"Salasoo, H.","Salas, R.",1.02,1,http://www.wikidata.org/entity/Q22113478,Ruth Salas
230,"Annels, A.R.",4706,1897.0,1998.0,101.0,"Annels, A.R.","Année, T.",1.02,1,http://www.wikidata.org/entity/Q7799857,Théodore Année
544,"Gundry, A.",1664,1997.0,1997.0,0.0,"Gundry, A.","Landry, J.",1.03,1,http://www.wikidata.org/entity/Q21077812,Jean-François Landry
425,"Westaway, J.",2513,1986.0,2018.0,32.0,"Westaway, J.","Hattaway, R.A.",1.03,1,http://www.wikidata.org/entity/Q21515576,Robert Aden Hattaway
924,"Sandercoe, C.",783,1978.0,1994.0,16.0,"Sandercoe, C.","Sander, M.",1.04,1,http://www.wikidata.org/entity/Q1904901,Martin Sander
664,"Wittwer, E.",1254,1962.0,1985.0,23.0,"Wittwer, E.","Witte, E.",1.04,1,http://www.wikidata.org/entity/Q1360664,Ernst Witte
965,"Levitzke, V.J.",734,1975.0,1983.0,8.0,"Levitzke, V.J.","Britzke, R.",1.05,1,http://www.wikidata.org/entity/Q23869251,Ricardo Britzke
517,"Whaite, T.M.",1810,1916.0,1985.0,69.0,"Whaite, T.M.","White, T.",1.05,1,http://www.wikidata.org/entity/Q3525670,Thomas White
504,ACRA,1884,1952.0,2018.0,66.0,ACRA,"Acrel, J.G.",1.05,1,http://www.wikidata.org/entity/Q5542070,Johan Gustaf Acrel
498,"Wajon, J.E.",1913,1998.0,2016.0,18.0,"Wajon, J.E.","Barajon, M.",1.05,1,http://www.wikidata.org/entity/Q55011480,Mario Barajon
29,"Coveny, R.",3560,1899.0,2012.0,113.0,"Coveny, R.","Cover, S.P.",1.05,1,http://www.wikidata.org/entity/Q21339398,Stefan P. Cover
186,"Gittins, C.H.",5952,1945.0,1987.0,42.0,"Gittins, C.H.","Robins, C.H.",1.05,1,http://www.wikidata.org/entity/Q21395005,Catherine H. Robins
119,"McBarron, E.J.",10081,1903.0,2000.0,97.0,"McBarron, E.J.","Barron, E.",1.05,1,http://www.wikidata.org/entity/Q21537298,Ellen Barron
76,"Constable, E.F.",14027,1848.0,2008.0,160.0,"Constable, E.F.","Stabler, G.",1.05,1,http://www.wikidata.org/entity/Q21609421,George Stabler
987,"Wauchope, J.",695,1923.0,1987.0,64.0,"Wauchope, J.","Bauchop, T.",1.06,1,http://www.wikidata.org/entity/Q36686361,T. Bauchop
348,"Gibson, N. | van Leeuwen, S. | Langley, M.A. | Brown, K.",796,2012.0,2014.0,2.0,"Gibson, N. | van Leeuwen, S. | Langley, M.A. | Brown, K.","Gibson, N.",1.06,1,http://www.wikidata.org/entity/Q21513975,Neil Gibson
32,"Batianoff, G.",992,1967.0,2009.0,42.0,"Batianoff, G.","Bati, .",1.06,1,http://www.wikidata.org/entity/Q47113856,Bati
677,"Kabay, E.D.",1238,1993.0,1995.0,2.0,"Kabay, E.D.","Eddy, E.D.",1.06,1,http://www.wikidata.org/entity/Q21511361,E.D. Eddy
611,"Menkhorst, K.",1407,1984.0,1997.0,13.0,"Menkhorst, K.","Lokhorst, G.M.",1.06,1,http://www.wikidata.org/entity/Q21519435,Gijsbert M. Lokhorst
591,"Tadgell, A.J.",1464,1886.0,1966.0,80.0,"Tadgell, A.J.","Ebell, A.J.",1.06,1,http://www.wikidata.org/entity/Q4685140,Adrian John Ebell
995,"Strudwick, J.",687,1976.0,1998.0,22.0,"Strudwick, J.","Shadwick, J.D.(.).",1.07,1,http://www.wikidata.org/entity/Q88851254,John D.(L.) Shadwick
896,"de Salas, M.F.|Baker, M.L.",756,2011.0,2018.0,7.0,"de Salas, M.F.|Baker, M.L.","Salas, M.F.d.",1.07,1,http://www.wikidata.org/entity/Q59603761,Miguel F. de Salas
874,"D'Arnay, E.",839,1932.0,1977.0,45.0,"D'Arnay, E.","May, E.",1.07,1,http://www.wikidata.org/entity/Q22106612,E. May
604,"Taws, N.M.",1426,1993.0,2013.0,20.0,"Taws, N.M.","Barros, N.M.",1.07,1,http://www.wikidata.org/entity/Q43870218,Neiva Monteiro Barros
589,"Sweedman, L.S.J.",1466,1991.0,2017.0,26.0,"Sweedman, L.S.J.","Steedman, H.",1.07,1,http://www.wikidata.org/entity/Q5728662,Henry Steedman
512,"Lullfitz, F.",1830,1955.0,2004.0,49.0,"Lullfitz, F.","Lull, R.S.",1.07,1,http://www.wikidata.org/entity/Q1465858,R. S. Lull
636,"Dansie, S.J.",1330,1953.0,2006.0,53.0,"Dansie, S.J.","Lee, S.J.",1.07,4,http://www.wikidata.org/entity/Q33084681|http://www.wikidata.org/entity/Q36678498|http://www.wikidata.org/entity/Q88849777|http://www.wikidata.org/entity/Q88849785,Soo Jeong Lee|Seon Ju Lee|Sun Jin Lee|Sun Joung Lee
518,"Whaite, T.M. | Whaite, J.L.",714,1949.0,1985.0,36.0,"Whaite, T.M. | Whaite, J.L.","White, T.",1.08,1,http://www.wikidata.org/entity/Q3525670,Thomas White
541,"Sammy, N.",1668,1967.0,2005.0,38.0,"Sammy, N.","Sammet, K.",1.08,1,http://www.wikidata.org/entity/Q58238507,Kaarel Sammet
1000,Not supplied,25515,,,,Not supplied,"Notø, A.",1.08,1,http://www.wikidata.org/entity/Q21522248,Andreas Notø
935,"Taws, N.",771,1993.0,1995.0,2.0,"Taws, N.","Daws, J.",1.09,1,http://www.wikidata.org/entity/Q6297455,Joyce Daws
898,"Dalgetty, A.",811,1993.0,1994.0,1.0,"Dalgetty, A.","Petty, W.",1.09,1,http://www.wikidata.org/entity/Q278699,William Petty
815,"Rohrlach, K.D.",942,1956.0,1997.0,41.0,"Rohrlach, K.D.","Rohrbach, C.",1.09,1,http://www.wikidata.org/entity/Q47125268,Carl Rohrbach
777,A.G. Gunness et al.,1012,1996.0,2001.0,5.0,A.G. Gunness et al.,"Jones, E.T.",1.09,1,http://www.wikidata.org/entity/Q55057164,Elmer Thomas Jones
370,"Blaylock, B.J.",2882,1906.0,2008.0,102.0,"Blaylock, B.J.","Block, C.",1.09,1,http://www.wikidata.org/entity/Q61053957,Carolina Block
28,"Coveny, R.G.",25486,1909.0,2018.0,109.0,"Coveny, R.G.","Cover, S.P.",1.09,1,http://www.wikidata.org/entity/Q21339398,Stefan P. Cover
551,"Kalotas, A.",1648,1900.0,1997.0,97.0,"Kalotas, A.","Kallies, A.",1.1,1,http://www.wikidata.org/entity/Q21077800,Axel Kallies
383,"Wiecek, B.M.",2807,1964.0,2018.0,54.0,"Wiecek, B.M.","Clark, B.M.",1.1,1,http://www.wikidata.org/entity/Q36515192,Betty M. Clark
31,"Batianoff, G.N.",25371,1955.0,2008.0,53.0,"Batianoff, G.N.","Bati, .",1.1,1,http://www.wikidata.org/entity/Q47113856,Bati
922,"Canty, P.D. | Heard, L.M.B.",785,1991.0,1997.0,6.0,"Canty, P.D. | Heard, L.M.B.","Heard, A.J.",1.11,1,http://www.wikidata.org/entity/Q36503055,Albert John Heard
856,K. Zosky et al.,879,2006.0,2009.0,3.0,K. Zosky et al.,"Allen, E.T.",1.11,1,http://www.wikidata.org/entity/Q41728543,Edward Tyson Allen
769,"Kilgour, R.A.",1026,1981.0,1992.0,11.0,"Kilgour, R.A.","Kilgus, G.",1.11,1,http://www.wikidata.org/entity/Q36563789,G. Kilgus
760,"Whinray, J.",1041,1965.0,2014.0,49.0,"Whinray, J.","Whinam, J.",1.11,1,http://www.wikidata.org/entity/Q88858392,Jennie Whinam
