,coll_index,surname,initials,canonical_string,name,active,comment,info_link,portrait_link
1932,c01933,KENNEDY,F.H.,"KENNEDY, F.H.","KENNEDY, Frank H.",,,,
1933,c01934,KENNEDY,J.H.,"KENNEDY, J.H.","KENNEDY, J.H.",fl. 1930s-60s,,,
1934,c01935,KENNEDY,J.,"KENNEDY, J.","KENNEDY, Jan",fl. 1960s,Botanical illustrator,notes,
1935,c01936,KENNEDY,M.B.M.,"KENNEDY, M.B.M.","KENNEDY, Mary Bozzam Mrs, nee HUME",1838-1915,Collected for Mueller in NSW,notes,
1936,c01937,KENNEDY,R.H.(.o.M.B.a.,"KENNEDY, R.H.(.o.M.B.a.","KENNEDY, Robert Henry (husband of Mary Bozzam above)",1826-1895,Collected for Joseph Maiden in NSW,,
1937,c01938,KENNION,E.,"KENNION, E.","KENNION, Edward",1744-1809,Botanical artist,notes,
1938,c01939,KENNY,F.A.,"KENNY, F.A.","KENNY, F.A.",fl. 1910-22,,,
1939,c01940,KENNY,F.H.,"KENNY, F.H.","KENNY, Frederick Hamilton",1859-1927,"Medical doctor, surgeon, naturalist",notes,portrait
1940,c01941,KENNY,M.,"KENNY, M.","KENNY, Margaret, nee LILLYWHITE",1909-1976,"Botanical Assistant, S.A. Museum",notes,
1941,c01942,KENTISH,M.E.(.,"KENTISH, M.E.(.","KENTISH, Martha Elizabeth (Mattie), later Mrs MANN",1876-1957,Collected for Mueller in Vic.,notes,
1942,c01943,KERR,L.R.,"KERR, L.R.","KERR, Lesley Ruth",1900-1927,Botanist,notes,
1943,c01944,KERSHAW,A.P.,"KERSHAW, A.P.","KERSHAW, A. Peter, Dr",,Palynologist,,
1944,c01945,KERSHAW,J.A.,"KERSHAW, J.A.","KERSHAW, James A",1866-1946,"Museum Director, naturalist",,
1945,c01946,KESSELL,A.,"KESSELL, A.","KESSELL, A.",fl. 1960s,,,
