,label,count,start_date,end_date,activity_span,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
468,"Hartley, T.G.",2116,1930.0,2004.0,74.0,"Hartley, T.G.","Hartley, T.G.",1.0,1.0,http://www.wikidata.org/entity/Q349605,Thomas Gordon Hartley,Hartley,T.G.,"Hartley, T.G.",,,,8575.0,3688-1,T.G.Hartley,,P005691b,1931.0,2016.0,,,http://www.wikidata.org/wiki/Q349605,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=8575,https://www.ipni.org/a/3688-1,,http://www.eoas.info/biogs/P005691b,
470,"Strid, A.",2096,1972.0,1993.0,21.0,"Strid, A.","Strid, A.",1.0,1.0,http://www.wikidata.org/entity/Q13409388,Arne Strid,Strid,A.,"Strid, A.",,5182643,0000 0001 0950 5425,68047,10219-1,Strid,,,1943.0,,,,http://www.wikidata.org/wiki/Q13409388,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=68047,https://www.ipni.org/a/10219-1,,,
472,"Simson, A.",2077,1838.0,1978.0,140.0,"Simson, A.","Simson, A.",1.0,1.0,http://www.wikidata.org/entity/Q2871726,Augustus Simson,Simson,A.,"Simson, A.",,,,43090.0,13324-1,Simson,,P001933b,1836.0,1918.0,,,http://www.wikidata.org/wiki/Q2871726,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=43090,https://www.ipni.org/a/13324-1,,http://www.eoas.info/biogs/P001933b,
481,"Morton, A.",2050,1886.0,2005.0,119.0,"Morton, A.","Morton, A.",1.0,1.0,http://www.wikidata.org/entity/Q21535320,Alexander Morton,Morton,A.,"Morton, A.",,9393153954910805680008,,,,,,P001260b,1854.0,1907.0,,,http://www.wikidata.org/wiki/Q21535320,,,,,http://www.eoas.info/biogs/P001260b,http://adb.anu.edu.au/biography/morton-alexander-7666
489,"Allen, M.G.",2019,1996.0,1997.0,1.0,"Allen, M.G.","Allen, M.G.",1.0,1.0,http://www.wikidata.org/entity/Q22107044,Michael G. Allen,Allen,M.G.,"Allen, M.G.",,,,,,,,,,,,,http://www.wikidata.org/wiki/Q22107044,,,,,,
491,"Tracey, J.G.",1992,1950.0,2000.0,50.0,"Tracey, J.G.","Tracey, J.G.",1.0,1.0,http://www.wikidata.org/entity/Q19060983,John Geoffrey Tracey,Tracey,J.G.,"Tracey, J.G.",,55413873,,,27878-1,Tracey,,,1930.0,2004.0,,,http://www.wikidata.org/wiki/Q19060983,,,https://www.ipni.org/a/27878-1,,,
492,"Tate, R.",1982,1837.0,1997.0,160.0,"Tate, R.","Tate, R.",1.0,1.0,http://www.wikidata.org/entity/Q7288153,Ralph Tate,Tate,R.,"Tate, R.",,15134454,0000 0000 8094 8264,8348.0,10443-1,Tate,,P000164b,1840.0,1901.0,,,http://www.wikidata.org/wiki/Q7288153,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=8348,https://www.ipni.org/a/10443-1,,http://www.eoas.info/biogs/P000164b,http://adb.anu.edu.au/biography/tate-ralph-4688
493,"Barlow, B.A.",1970,1956.0,2000.0,44.0,"Barlow, B.A.","Barlow, B.A.",1.0,1.0,http://www.wikidata.org/entity/Q6398703,Bryan Alwyn Barlow,Barlow,B.A.,"Barlow, B.A.",,6573961,0000 0000 4259 4856,72930,483-1,Barlow,,,1933.0,,,,http://www.wikidata.org/wiki/Q6398703,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=72930,https://www.ipni.org/a/483-1,,,
495,"Guymer, G.P.",1963,1926.0,2015.0,89.0,"Guymer, G.P.","Guymer, G.P.",1.0,1.0,http://www.wikidata.org/entity/Q5883585,Gordon P. Guymer,Guymer,G.P.,"Guymer, G.P.",,43992897,0000 0000 4383 4567,,12449-1,Guymer,,,1953.0,,,,http://www.wikidata.org/wiki/Q5883585,,,https://www.ipni.org/a/12449-1,,,
500,"Kenny, M.",1955,1906.0,1983.0,77.0,"Kenny, M.","Kenny, M.",1.0,1.0,http://www.wikidata.org/entity/Q21536749,Michael Kenny,Kenny,M.,"Kenny, M.",,,,,,,,,1808.0,1892.0,,,http://www.wikidata.org/wiki/Q21536749,,,,,,http://adb.anu.edu.au/biography/kenny-michael-13023
502,"MacKee, H.S.",1948,1864.0,1996.0,132.0,"MacKee, H.S.","MacKee, H.S.",1.0,1.0,http://www.wikidata.org/entity/Q21519729,Hugh Shaw MacKee,MacKee,H.S.,"MacKee, H.S.",,58083262,0000 0001 0976 4902,44295,22692-1,MacKee,,,1912.0,1995.0,,,http://www.wikidata.org/wiki/Q21519729,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=44295,https://www.ipni.org/a/22692-1,,,
508,"Hamilton, A.A.",1923,1896.0,1922.0,26.0,"Hamilton, A.A.","Hamilton, A.A.",1.0,1.0,http://www.wikidata.org/entity/Q5706952,Arthur Andrew Hamilton,Hamilton,A.A.,"Hamilton, A.A.",,,,77997.0,3598-1,A.A.Ham.,,,1855.0,1929.0,,,http://www.wikidata.org/wiki/Q5706952,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=77997,https://www.ipni.org/a/3598-1,,,
510,"Messina, A.",1920,2005.0,2020.0,15.0,"Messina, A.","Messina, A.",1.0,1.0,http://www.wikidata.org/entity/Q18986897,Andre Messina,Messina,A.,"Messina, A.",,,,,20016742-1,Messina,,,,,,,http://www.wikidata.org/wiki/Q18986897,,,https://www.ipni.org/a/20016742-1,,,
